001 JAVA 张三 清华出版社 100.000000
0132 C++从入 张三 清华出版社 1072.000000
002 VUE.JS 李四 工业出版社 200.000000
003 C++ 王五 北大出版社 300.000000
004 Asp.Net 赵六 高等教育出版社 660.000000
0135 C++从入 张三 清华出版社 10722.000000
005 计算机网络 小明 A出版社 780.000000
006 计算机操作系统 小红 B出版社 120.000000
007 数据结构 小蓝 郑大出版社 140.000000
008 C++从入门到放弃 小智 河南工程出版社 180.000000
009 计算机网 张三 清华出版社 112300.000000
010 计算机操 张三 清华出版社 11209.000000
011 数据结构 张三 清华出版社 11220.000000
012 C++从入 张三 清华出版社 10730.000000
0212 C++从入 小蓝 清华出版社 10730.000000
0027 数据结构 小蓝 清华出版社 140.000000
009 计算机网 小明 清华出版社 112300.000000
010 计算机操 小明 清华出版社 11209.000000
011 数据结构 赵六 清华出版社 11220.000000
131564 defaf asdf adsf 444.000000
02 das adsd asd 5.000000
022222 sad sa da 2.000000
23 dss sd sd 1.000000
21 as asd as 12.000000
